
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)"
="",="lr_remmedr",="lr_remmedr",="lr_remmedr",="lr_remmedr",="lr_remmedr",="lr_remmedr"

="1.treat_year#c.totaltreat_pw_n",="0.017",="0.026",="0.026",="0.075",="0.045",="0.033"
="",="(0.092)",="(0.092)",="(0.082)",="(0.081)",="(0.078)",="(0.078)"

="1.am_tn_pre#c.totaltreat_pw_n",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)"

="1.am_tn_pre#0.treat_year#c.totaltreat_pw_n",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)"

="1.am_tn_pre#1.treat_year#c.totaltreat_pw_n",="0.177",="0.175",="0.295*",="0.327**",="0.239",="0.196"
="",="(0.172)",="(0.170)",="(0.161)",="(0.167)",="(0.159)",="(0.157)"

="N",="33410",="33410",="33410",="33410",="33410",="33410"

="Standard errors in parentheses"
="* p<0.10, ** p<0.05, *** p<0.01"
